Invoice ID,Branch,City,Customer type,Product line,Date,Time,Total
549-59-1358,A,Yangon,Member,Sports and travel,3/2/19,17:36,279.1845
227-03-5010,A,Yangon,Member,Home and lifestyle,3/22/19,19:20,441.756
649-29-6775,B,Mandalay,Normal,Fashion accessories,2/8/19,15:31,35.196
189-17-4241,A,Yangon,Normal,Fashion accessories,3/10/19,12:17,184.107
145-94-9061,B,Mandalay,Normal,Food and beverages,1/25/19,19:48,463.89
848-62-7243,A,Yangon,Normal,Health and beauty,3/15/19,15:36,235.2105
871-79-8483,B,Mandalay,Normal,Fashion accessories,2/25/19,19:39,494.1825
149-71-6266,B,Mandalay,Member,Sports and travel,1/28/19,12:43,737.7615
640-49-2076,B,Mandalay,Normal,Sports and travel,1/10/19,14:49,703.752
595-11-5460,A,Yangon,Normal,Health and beauty,3/15/19,10:12,202.818
183-56-6882,C,Naypyitaw,Member,Food and beverages,2/6/19,10:42,417.564
232-16-2483,C,Naypyitaw,Member,Sports and travel,1/7/19,12:28,71.526
129-29-8530,A,Yangon,Member,Sports and travel,3/10/19,19:15,328.755
272-65-1806,A,Yangon,Normal,Electronic accessories,1/15/19,17:17,575.316
333-73-7901,C,Naypyitaw,Normal,Health and beauty,3/23/19,13:24,461.328
777-82-7220,B,Mandalay,Member,Home and lifestyle,3/3/19,13:01,253.008
280-35-5823,B,Mandalay,Member,Home and lifestyle,1/17/19,18:45,91.056
554-53-8700,C,Naypyitaw,Member,Home and lifestyle,2/2/19,10:11,117.831
354-25-5821,B,Mandalay,Member,Sports and travel,2/8/19,13:03,435.456
228-96-1411,C,Naypyitaw,Member,Food and beverages,3/4/19,20:39,829.08
617-15-4209,C,Naypyitaw,Member,Health and beauty,3/16/19,19:47,32.277
132-32-9879,B,Mandalay,Member,Electronic accessories,3/9/19,18:00,394.632
370-41-7321,B,Mandalay,Member,Health and beauty,2/27/19,17:24,535.7205
727-46-3608,B,Mandalay,Member,Food and beverages,2/6/19,15:47,189.0945
669-54-1719,B,Mandalay,Member,Electronic accessories,2/10/19,12:45,119.259
574-22-5561,C,Naypyitaw,Member,Fashion accessories,3/19/19,17:08,867.615
326-78-5178,C,Naypyitaw,Member,Food and beverages,2/3/19,10:19,671.79
162-48-8011,A,Yangon,Member,Food and beverages,2/10/19,15:10,234.0975
616-24-2851,B,Mandalay,Member,Fashion accessories,3/22/19,14:42,75.054
778-71-5554,C,Naypyitaw,Member,Fashion accessories,1/25/19,15:46,16.2015
242-55-6721,B,Mandalay,Normal,Home and lifestyle,3/7/19,11:49,33.936
399-46-5918,C,Naypyitaw,Normal,Electronic accessories,2/28/19,19:01,722.232
106-35-6779,A,Yangon,Member,Home and lifestyle,3/27/19,11:26,93.114
635-40-6220,A,Yangon,Normal,Health and beauty,2/7/19,11:28,752.64
817-48-8732,A,Yangon,Member,Home and lifestyle,1/20/19,15:55,759.675
120-06-4233,C,Naypyitaw,Normal,Electronic accessories,3/12/19,20:36,192.843
285-68-5083,C,Naypyitaw,Member,Sports and travel,2/15/19,17:47,77.931
803-83-5989,C,Naypyitaw,Normal,Home and lifestyle,2/24/19,10:55,351.099
347-34-2234,B,Mandalay,Member,Sports and travel,2/3/19,13:40,520.4115
199-75-8169,A,Yangon,Member,Sports and travel,3/6/19,12:27,166.005
853-23-2453,B,Mandalay,Member,Health and beauty,2/14/19,14:35,318.108
877-22-3308,A,Yangon,Member,Health and beauty,3/13/19,16:40,166.635
838-78-4295,C,Naypyitaw,Normal,Health and beauty,2/10/19,15:43,70.287
109-28-2512,B,Mandalay,Member,Fashion accessories,1/7/19,15:01,614.943
232-11-3025,A,Yangon,Normal,Sports and travel,1/24/19,10:04,827.085
382-03-4532,A,Yangon,Member,Health and beauty,2/2/19,18:50,19.2465
393-65-2792,C,Naypyitaw,Normal,Food and beverages,1/6/19,12:46,939.54
796-12-2025,C,Naypyitaw,Normal,Fashion accessories,2/11/19,16:19,652.26
510-95-6347,B,Mandalay,Member,Food and beverages,3/5/19,18:17,152.838
841-35-6630,C,Naypyitaw,Normal,Electronic accessories,3/9/19,18:21,478.233
287-21-9091,A,Yangon,Normal,Home and lifestyle,1/22/19,10:55,705.6315
732-94-0499,C,Naypyitaw,Normal,Electronic accessories,1/13/19,17:04,437.325
263-10-3913,C,Naypyitaw,Member,Fashion accessories,1/9/19,14:20,463.428
381-20-0914,A,Yangon,Member,Fashion accessories,1/12/19,15:48,189.0945
829-49-1914,C,Naypyitaw,Member,Food and beverages,3/5/19,16:24,822.255
756-01-7507,C,Naypyitaw,Normal,Health and beauty,1/22/19,18:56,106.995
870-72-4431,C,Naypyitaw,Normal,Health and beauty,1/21/19,14:42,624.897
847-38-7188,B,Mandalay,Normal,Food and beverages,1/26/19,19:56,304.542
480-63-2856,C,Naypyitaw,Normal,Food and beverages,1/23/19,18:37,161.7
787-56-0757,C,Naypyitaw,Member,Food and beverages,2/23/19,18:45,337.512
360-39-5055,C,Naypyitaw,Member,Sports and travel,3/9/19,10:17,256.7775
730-50-9884,C,Naypyitaw,Normal,Sports and travel,3/5/19,14:31,610.491
362-58-8315,C,Naypyitaw,Normal,Fashion accessories,3/25/19,10:23,401.73
633-44-8566,A,Yangon,Member,Food and beverages,3/27/19,20:35,362.943
504-35-8843,A,Yangon,Normal,Sports and travel,1/2/19,16:57,44.5935
318-68-5053,B,Mandalay,Normal,Health and beauty,2/27/19,17:55,485.037
565-80-5980,C,Naypyitaw,Member,Home and lifestyle,1/23/19,10:25,198.996
225-32-0908,C,Naypyitaw,Normal,Sports and travel,1/26/19,19:54,471.03
873-51-0671,A,Yangon,Member,Sports and travel,1/10/19,16:42,161.553
152-08-9985,B,Mandalay,Member,Health and beauty,3/12/19,12:09,608.202
512-91-0811,C,Naypyitaw,Normal,Health and beauty,2/6/19,20:05,94.2375
594-34-4444,A,Yangon,Normal,Electronic accessories,3/8/19,20:38,102.018
766-85-7061,B,Mandalay,Normal,Health and beauty,3/29/19,10:25,922.635
871-39-9221,C,Naypyitaw,Normal,Electronic accessories,2/9/19,13:11,78.435
865-92-6136,A,Yangon,Normal,Food and beverages,3/23/19,10:16,166.1625
733-01-9107,B,Mandalay,Normal,Home and lifestyle,3/5/19,18:14,521.01
163-56-7055,C,Naypyitaw,Member,Fashion accessories,3/26/19,19:20,51.1455
189-98-2939,C,Naypyitaw,Normal,Fashion accessories,3/1/19,13:22,742.2975
551-21-3069,C,Naypyitaw,Normal,Electronic accessories,2/1/19,11:27,218.0115
212-62-1842,A,Yangon,Normal,Food and beverages,3/28/19,16:44,367.038
716-39-1409,B,Mandalay,Normal,Health and beauty,3/19/19,18:19,223.0725
704-48-3927,A,Yangon,Member,Electronic accessories,1/12/19,14:50,931.035
628-34-3388,C,Naypyitaw,Normal,Fashion accessories,1/5/19,20:54,172.494
630-74-5166,A,Yangon,Normal,Sports and travel,3/22/19,20:19,391.419
588-01-7461,C,Naypyitaw,Normal,Food and beverages,3/24/19,10:43,321.111
861-77-0145,C,Naypyitaw,Member,Electronic accessories,3/3/19,14:30,860.685
479-26-8945,B,Mandalay,Member,Sports and travel,2/5/19,11:32,34.629
210-67-5886,C,Naypyitaw,Member,Health and beauty,2/5/19,10:41,309.3615
227-78-1148,B,Mandalay,Normal,Fashion accessories,2/15/19,12:44,535.374
645-44-1170,A,Yangon,Member,Home and lifestyle,1/19/19,20:07,548.7615
237-01-6122,C,Naypyitaw,Member,Home and lifestyle,2/1/19,20:31,763.4655
225-98-1496,C,Naypyitaw,Normal,Fashion accessories,3/2/19,13:01,85.113
291-32-1427,B,Mandalay,Member,Fashion accessories,3/5/19,12:29,115.185
659-65-8956,B,Mandalay,Member,Fashion accessories,1/16/19,15:26,53.928
642-32-2990,A,Yangon,Normal,Food and beverages,2/2/19,20:48,115.08
378-24-2715,B,Mandalay,Normal,Home and lifestyle,1/20/19,20:38,112.224
638-60-7125,A,Yangon,Normal,Electronic accessories,2/14/19,17:03,836.304
659-36-1684,C,Naypyitaw,Member,Sports and travel,1/12/19,12:02,419.832
219-22-9386,B,Mandalay,Member,Sports and travel,3/9/19,17:26,944.622
336-78-2147,C,Naypyitaw,Member,Home and lifestyle,3/13/19,19:52,536.844
268-27-6179,B,Mandalay,Member,Fashion accessories,3/9/19,14:57,474.348
668-90-8900,A,Yangon,Normal,Home and lifestyle,3/10/19,18:44,688.6215
870-54-3162,A,Yangon,Normal,Sports and travel,1/27/19,13:26,169.3125
189-08-9157,C,Naypyitaw,Normal,Fashion accessories,1/8/19,16:17,299.8485
663-86-9076,C,Naypyitaw,Member,Food and beverages,1/8/19,15:57,575.736
549-84-7482,B,Mandalay,Normal,Sports and travel,2/8/19,11:15,853.146
191-10-6171,B,Mandalay,Normal,Fashion accessories,1/25/19,13:18,291.207
802-70-5316,A,Yangon,Member,Sports and travel,3/6/19,20:34,580.419
695-51-0018,B,Mandalay,Normal,Sports and travel,2/10/19,18:36,146.328
590-83-4591,B,Mandalay,Member,Electronic accessories,2/17/19,14:40,550.935
483-71-1164,C,Naypyitaw,Normal,Health and beauty,3/8/19,16:43,512.19
597-78-7908,C,Naypyitaw,Normal,Fashion accessories,2/18/19,19:39,284.193
700-81-1757,A,Yangon,Normal,Electronic accessories,1/18/19,20:59,138.1275
354-39-5160,A,Yangon,Member,Home and lifestyle,2/18/19,15:39,216.846
241-72-9525,B,Mandalay,Normal,Sports and travel,2/16/19,12:21,545.055
575-30-8091,A,Yangon,Normal,Sports and travel,3/16/19,19:25,609
731-81-9469,C,Naypyitaw,Member,Sports and travel,1/23/19,13:00,942.9
280-17-4359,C,Naypyitaw,Member,Health and beauty,1/25/19,13:48,950.25
338-65-2210,C,Naypyitaw,Member,Health and beauty,2/5/19,19:57,720.3
488-25-4221,C,Naypyitaw,Member,Food and beverages,2/22/19,10:36,31.9305
239-10-7476,A,Yangon,Normal,Home and lifestyle,1/21/19,16:37,491.085
458-41-1477,C,Naypyitaw,Normal,Health and beauty,3/8/19,17:11,291.438
685-64-1609,A,Yangon,Member,Fashion accessories,2/10/19,12:28,316.47
568-90-5112,C,Naypyitaw,Normal,Health and beauty,3/19/19,12:46,277.788
262-47-2794,B,Mandalay,Member,Home and lifestyle,3/6/19,15:07,603.624
238-49-0436,A,Yangon,Normal,Health and beauty,3/27/19,13:48,272.664
608-96-3517,B,Mandalay,Member,Fashion accessories,3/23/19,19:20,384.468
584-86-7256,C,Naypyitaw,Member,Sports and travel,3/11/19,16:07,254.016
746-94-0204,A,Yangon,Normal,Fashion accessories,1/29/19,11:56,786.618
214-17-6927,C,Naypyitaw,Normal,Food and beverages,2/7/19,18:23,103.824
400-89-4171,C,Naypyitaw,Normal,Sports and travel,1/28/19,13:05,680.148
782-95-9291,A,Yangon,Member,Food and beverages,2/20/19,15:55,484.5225
279-74-2924,B,Mandalay,Member,Electronic accessories,1/4/19,19:40,75.7785
307-85-2293,B,Mandalay,Normal,Home and lifestyle,3/7/19,13:58,263.97
743-04-1105,B,Mandalay,Member,Health and beauty,3/30/19,14:43,918.729
423-57-2993,B,Mandalay,Normal,Sports and travel,3/27/19,19:18,588.357
894-41-5205,C,Naypyitaw,Normal,Food and beverages,1/19/19,19:39,362.712
275-28-0149,A,Yangon,Normal,Sports and travel,2/25/19,16:21,66.8745
101-17-6199,A,Yangon,Normal,Food and beverages,3/13/19,19:44,336.5565
423-80-0988,C,Naypyitaw,Normal,Sports and travel,1/30/19,19:42,160.44
548-46-9322,B,Mandalay,Normal,Food and beverages,2/20/19,15:24,418.95
505-02-0892,B,Mandalay,Member,Health and beauty,2/25/19,14:12,357.588
234-65-2137,C,Naypyitaw,Normal,Home and lifestyle,1/16/19,13:32,1003.59
687-47-8271,A,Yangon,Normal,Fashion accessories,2/8/19,16:20,1039.29
796-32-9050,A,Yangon,Normal,Food and beverages,1/19/19,16:31,323.064
105-31-1824,A,Yangon,Member,Sports and travel,2/1/19,15:10,510.972
249-42-3782,A,Yangon,Normal,Health and beauty,1/3/19,11:36,367.5525
316-55-4634,B,Mandalay,Member,Food and beverages,1/26/19,12:45,420.2625
733-33-4967,C,Naypyitaw,Normal,Electronic accessories,3/3/19,19:17,175.14
608-27-6295,B,Mandalay,Member,Electronic accessories,1/19/19,17:34,333.207
414-12-7047,B,Mandalay,Normal,Food and beverages,1/18/19,12:04,166.236
827-26-2100,A,Yangon,Member,Home and lifestyle,3/21/19,16:21,319.788
175-54-2529,A,Yangon,Member,Food and beverages,3/3/19,17:01,186.228
139-52-2867,C,Naypyitaw,Normal,Fashion accessories,2/13/19,10:50,165.4485
407-63-8975,A,Yangon,Normal,Food and beverages,3/23/19,19:16,465.444
342-65-4817,C,Naypyitaw,Member,Health and beauty,1/28/19,16:47,273.42
130-98-8941,C,Naypyitaw,Normal,Fashion accessories,2/9/19,10:00,472.311
434-83-9547,C,Naypyitaw,Member,Food and beverages,1/23/19,11:51,323.148
851-28-6367,A,Yangon,Member,Sports and travel,3/23/19,10:55,162.75
824-88-3614,C,Naypyitaw,Normal,Health and beauty,1/25/19,15:00,288.204
586-25-0848,A,Yangon,Normal,Sports and travel,3/4/19,11:19,90.699
895-66-0685,B,Mandalay,Member,Food and beverages,3/5/19,19:46,56.952
305-14-0245,B,Mandalay,Member,Home and lifestyle,3/3/19,19:00,793.716
732-04-5373,B,Mandalay,Member,Home and lifestyle,2/8/19,10:53,195.174
400-60-7251,A,Yangon,Normal,Home and lifestyle,2/10/19,12:50,77.7735
593-65-1552,C,Naypyitaw,Normal,Home and lifestyle,1/28/19,20:50,293.202
284-34-9626,B,Mandalay,Normal,Home and lifestyle,2/11/19,10:39,242.676
437-58-8131,B,Mandalay,Normal,Fashion accessories,1/15/19,13:41,154.392
286-43-6208,C,Naypyitaw,Normal,Food and beverages,3/16/19,19:08,829.71
641-43-2399,B,Mandalay,Normal,Home and lifestyle,1/26/19,20:23,107.31
831-07-6050,A,Yangon,Normal,Electronic accessories,3/19/19,11:30,171.7275
556-86-3144,C,Naypyitaw,Member,Fashion accessories,1/13/19,19:30,78.0045
848-24-9445,C,Naypyitaw,Member,Health and beauty,3/26/19,18:03,91.77
856-22-8149,A,Yangon,Normal,Home and lifestyle,3/23/19,10:13,26.5545
699-01-4164,C,Naypyitaw,Normal,Health and beauty,3/12/19,19:58,174.3
420-11-4919,C,Naypyitaw,Member,Food and beverages,2/17/19,19:57,374.7975
606-80-4905,C,Naypyitaw,Member,Sports and travel,1/29/19,10:01,120.645
542-41-0513,B,Mandalay,Member,Electronic accessories,3/15/19,11:57,241.458
426-39-2418,C,Naypyitaw,Normal,Electronic accessories,1/14/19,10:02,451.3635
875-46-5808,B,Mandalay,Member,Health and beauty,2/6/19,14:51,271.95
394-43-4238,B,Mandalay,Member,Home and lifestyle,2/15/19,12:42,93.2925
749-24-1565,A,Yangon,Normal,Health and beauty,1/3/19,12:02,217.6335
672-51-8681,C,Naypyitaw,Member,Electronic accessories,1/4/19,18:19,629.8425
263-87-5680,C,Naypyitaw,Member,Home and lifestyle,3/18/19,17:38,299.565
573-58-9734,B,Mandalay,Normal,Fashion accessories,3/28/19,13:41,95.6655
817-69-8206,B,Mandalay,Normal,Electronic accessories,3/2/19,19:42,942.4485
888-02-0338,A,Yangon,Normal,Electronic accessories,1/25/19,20:24,247.8735
677-11-0152,C,Naypyitaw,Normal,Food and beverages,1/16/19,18:08,881.307
142-63-6033,B,Mandalay,Normal,Home and lifestyle,3/20/19,19:17,484.89
656-16-1063,B,Mandalay,Normal,Sports and travel,1/4/19,13:24,146.223
891-58-8335,B,Mandalay,Member,Sports and travel,3/11/19,15:53,217.6335
802-43-8934,A,Yangon,Normal,Home and lifestyle,3/22/19,15:05,19.194
560-30-5617,B,Mandalay,Normal,Sports and travel,3/24/19,18:27,130.0425
319-74-2561,A,Yangon,Member,Electronic accessories,2/21/19,16:55,298.116
549-03-9315,B,Mandalay,Normal,Fashion accessories,2/12/19,12:58,796.908
790-29-1172,B,Mandalay,Normal,Food and beverages,3/10/19,18:59,180.621
239-36-3640,B,Mandalay,Normal,Electronic accessories,1/31/19,13:44,285.705
468-01-2051,B,Mandalay,Normal,Food and beverages,3/6/19,13:46,456.288
389-25-3394,C,Naypyitaw,Normal,Electronic accessories,2/17/19,18:06,62.0025
279-62-1445,C,Naypyitaw,Member,Fashion accessories,2/21/19,12:38,13.167
213-72-6612,A,Yangon,Normal,Food and beverages,3/20/19,15:56,90.825
746-68-6593,C,Naypyitaw,Member,Sports and travel,1/11/19,14:29,183.036
836-82-5858,B,Mandalay,Member,Health and beauty,1/26/19,19:14,655.5465
583-72-1480,C,Naypyitaw,Member,Electronic accessories,1/31/19,16:24,155.652
466-61-5506,B,Mandalay,Member,Electronic accessories,2/26/19,10:52,571.41
721-86-6247,A,Yangon,Normal,Home and lifestyle,3/11/19,12:55,532.728
289-65-5721,B,Mandalay,Normal,Fashion accessories,1/26/19,19:28,170.877
545-46-3100,B,Mandalay,Member,Electronic accessories,3/12/19,13:52,33.3585
418-02-5978,B,Mandalay,Normal,Health and beauty,2/11/19,10:54,794.6505
269-04-5750,B,Mandalay,Member,Fashion accessories,2/21/19,18:31,310.044
157-13-5295,A,Yangon,Member,Health and beauty,3/9/19,18:24,545.37
645-78-8093,A,Yangon,Normal,Sports and travel,1/20/19,18:09,195.594
211-30-9270,C,Naypyitaw,Normal,Health and beauty,1/28/19,15:16,91.4025
755-12-3214,C,Naypyitaw,Member,Fashion accessories,3/5/19,17:07,232.155
346-84-3103,B,Mandalay,Member,Electronic accessories,3/2/19,19:26,69.405
478-06-7835,A,Yangon,Normal,Fashion accessories,1/11/19,11:20,94.1745
540-11-4336,A,Yangon,Normal,Food and beverages,1/11/19,16:49,235.683
448-81-5016,A,Yangon,Normal,Health and beauty,3/11/19,12:01,125.517
142-72-4741,C,Naypyitaw,Member,Fashion accessories,2/28/19,18:37,195.72
217-58-1179,A,Yangon,Member,Home and lifestyle,1/5/19,11:25,263.13
376-02-8238,B,Mandalay,Normal,Home and lifestyle,2/2/19,18:42,788.508
530-90-9855,A,Yangon,Member,Home and lifestyle,1/1/19,14:47,399.756
866-05-7563,B,Mandalay,Member,Electronic accessories,2/9/19,19:43,256.41
604-70-6476,A,Yangon,Member,Fashion accessories,1/23/19,14:04,94.185
799-71-1548,A,Yangon,Member,Electronic accessories,1/7/19,16:11,326.424
785-13-7708,B,Mandalay,Normal,Food and beverages,1/14/19,19:06,536.991
845-51-0542,B,Mandalay,Member,Food and beverages,2/2/19,15:34,439.8975
662-47-5456,C,Naypyitaw,Member,Fashion accessories,3/17/19,19:06,369.495
883-17-4236,C,Naypyitaw,Normal,Sports and travel,3/2/19,19:44,30.219
290-68-2984,A,Yangon,Normal,Home and lifestyle,3/16/19,11:22,99.75
704-11-6354,A,Yangon,Member,Home and lifestyle,1/6/19,11:23,494.76
110-48-7033,B,Mandalay,Member,Fashion accessories,1/29/19,14:12,137.004
366-93-0948,A,Yangon,Member,Electronic accessories,1/31/19,10:46,69.6675
729-09-9681,A,Yangon,Member,Home and lifestyle,2/5/19,10:16,163.233
151-16-1484,A,Yangon,Member,Electronic accessories,2/13/19,12:38,135.45
380-94-4661,C,Naypyitaw,Member,Electronic accessories,2/7/19,13:05,276.948
850-41-9669,A,Yangon,Normal,Electronic accessories,3/19/19,13:25,709.317
821-07-3596,C,Naypyitaw,Normal,Fashion accessories,3/7/19,14:53,69.09
655-85-5130,B,Mandalay,Member,Fashion accessories,3/13/19,19:22,160.86
447-15-7839,A,Yangon,Member,Sports and travel,2/9/19,11:00,233.52
154-74-7179,B,Mandalay,Normal,Sports and travel,2/26/19,19:24,57.1725
253-12-6086,A,Yangon,Member,Sports and travel,3/12/19,12:43,723.24
808-65-0703,C,Naypyitaw,Normal,Home and lifestyle,3/14/19,17:22,148.974
571-94-0759,B,Mandalay,Member,Food and beverages,1/8/19,20:55,783.3
144-51-6085,A,Yangon,Member,Home and lifestyle,1/5/19,16:05,297.108
731-14-2199,A,Yangon,Member,Home and lifestyle,1/4/19,13:34,373.17
783-09-1637,B,Mandalay,Normal,Sports and travel,3/6/19,18:13,354.0075
687-15-1097,C,Naypyitaw,Member,Health and beauty,1/3/19,19:17,44.352
126-54-1082,A,Yangon,Member,Home and lifestyle,1/7/19,11:44,203.553
633-91-1052,A,Yangon,Normal,Home and lifestyle,1/27/19,15:51,25.263
477-24-6490,B,Mandalay,Normal,Health and beauty,2/26/19,16:52,628.173
566-19-5475,B,Mandalay,Normal,Fashion accessories,1/7/19,20:52,352.5795
526-86-8552,C,Naypyitaw,Member,Home and lifestyle,1/7/19,17:36,229.11
376-56-3573,C,Naypyitaw,Normal,Fashion accessories,2/2/19,13:23,400.764
537-72-0426,C,Naypyitaw,Member,Fashion accessories,3/20/19,16:28,745.395
828-61-5674,A,Yangon,Member,Sports and travel,3/20/19,19:57,462.21
136-08-6195,A,Yangon,Normal,Home and lifestyle,2/15/19,17:01,587.664
523-38-0215,C,Naypyitaw,Normal,Home and lifestyle,3/6/19,13:29,38.85
490-29-1201,A,Yangon,Normal,Sports and travel,1/6/19,11:09,16.107
667-92-0055,A,Yangon,Member,Health and beauty,3/4/19,15:02,628.929
565-17-3836,A,Yangon,Member,Health and beauty,3/12/19,14:21,200.214
498-41-1961,B,Mandalay,Normal,Health and beauty,2/20/19,18:01,350.07
593-95-4461,C,Naypyitaw,Member,Home and lifestyle,3/24/19,14:49,78.603
226-71-3580,C,Naypyitaw,Normal,Sports and travel,1/31/19,12:02,224.4375
283-79-9594,B,Mandalay,Normal,Food and beverages,1/25/19,13:30,356.5485
430-60-3493,A,Yangon,Member,Home and lifestyle,2/3/19,14:38,697.368
139-20-0155,B,Mandalay,Member,Electronic accessories,1/24/19,17:37,423.15
558-80-4082,C,Naypyitaw,Normal,Electronic accessories,3/14/19,17:20,204.6975
278-97-7759,A,Yangon,Member,Electronic accessories,2/18/19,20:29,65.604
316-68-6352,A,Yangon,Member,Food and beverages,1/21/19,10:00,76.356
585-03-5943,B,Mandalay,Normal,Health and beauty,3/13/19,11:46,190.155
211-05-0490,C,Naypyitaw,Member,Electronic accessories,3/3/19,13:42,272.58
727-75-6477,C,Naypyitaw,Normal,Electronic accessories,3/29/19,14:44,121.128
744-02-5987,A,Yangon,Member,Home and lifestyle,1/10/19,14:16,493.794
307-83-9164,A,Yangon,Member,Home and lifestyle,1/25/19,15:54,252.042
779-06-0012,C,Naypyitaw,Member,Home and lifestyle,1/19/19,10:21,93.0405
446-47-6729,C,Naypyitaw,Normal,Fashion accessories,1/2/19,18:09,209.622
573-10-3877,B,Mandalay,Member,Health and beauty,3/12/19,16:46,40.9605
735-06-4124,C,Naypyitaw,Normal,Food and beverages,2/25/19,15:31,51.0405
439-54-7422,A,Yangon,Normal,Electronic accessories,3/18/19,17:15,214.998
396-90-2219,B,Mandalay,Normal,Electronic accessories,2/23/19,12:29,125.664
411-77-0180,A,Yangon,Member,Electronic accessories,3/26/19,20:14,530.67
286-01-5402,A,Yangon,Normal,Sports and travel,3/30/19,13:22,295.6905
803-17-8013,A,Yangon,Member,Home and lifestyle,2/17/19,17:09,745.836
512-98-1403,A,Yangon,Member,Electronic accessories,3/21/19,10:40,83.412
848-42-2560,A,Yangon,Normal,Fashion accessories,3/5/19,17:43,172.011
532-59-7201,B,Mandalay,Member,Sports and travel,1/31/19,14:04,503.559
181-94-6432,C,Naypyitaw,Member,Fashion accessories,2/5/19,19:05,145.593
870-76-1733,A,Yangon,Member,Food and beverages,2/1/19,10:08,74.7075
423-64-4619,A,Yangon,Member,Health and beauty,3/7/19,13:12,146.9475
227-07-4446,C,Naypyitaw,Member,Electronic accessories,2/10/19,20:51,820.365
174-36-3675,C,Naypyitaw,Member,Food and beverages,2/14/19,17:29,208.677
428-83-5800,C,Naypyitaw,Member,Food and beverages,2/9/19,10:25,66.402
603-07-0961,C,Naypyitaw,Member,Electronic accessories,1/10/19,11:34,392.6475
704-20-4138,C,Naypyitaw,Member,Health and beauty,3/11/19,18:58,218.0745
787-15-1757,C,Naypyitaw,Member,Health and beauty,2/18/19,16:28,185.094
649-11-3678,C,Naypyitaw,Normal,Food and beverages,2/26/19,20:26,216.6885
622-20-1945,C,Naypyitaw,Normal,Health and beauty,1/18/19,15:08,41.391
372-94-8041,A,Yangon,Normal,Health and beauty,2/15/19,18:03,96.138
563-91-7120,A,Yangon,Normal,Fashion accessories,3/8/19,13:21,324.2925
746-54-5508,A,Yangon,Normal,Home and lifestyle,1/17/19,12:48,135.576
276-54-0879,B,Mandalay,Normal,Sports and travel,3/12/19,19:53,410.508
815-11-1168,A,Yangon,Member,Food and beverages,3/9/19,19:09,523.845
719-76-3868,C,Naypyitaw,Member,Food and beverages,3/12/19,16:30,395.892
730-61-8757,B,Mandalay,Member,Health and beauty,1/25/19,10:11,214.746
340-66-0321,A,Yangon,Member,Electronic accessories,3/25/19,13:07,152.712
868-81-1752,B,Mandalay,Normal,Home and lifestyle,2/7/19,18:48,208.089
634-97-8956,A,Yangon,Normal,Food and beverages,2/17/19,17:27,103.635
566-71-1091,A,Yangon,Normal,Fashion accessories,2/3/19,15:59,404.355
442-48-3607,A,Yangon,Member,Food and beverages,3/14/19,11:21,49.308
835-16-0096,C,Naypyitaw,Member,Sports and travel,3/24/19,13:48,77.175
527-09-6272,A,Yangon,Member,Electronic accessories,3/21/19,10:17,149.3625
898-04-2717,A,Yangon,Normal,Fashion accessories,3/19/19,15:49,721.98
692-27-8933,B,Mandalay,Normal,Sports and travel,2/24/19,13:02,365.085
633-09-3463,C,Naypyitaw,Normal,Electronic accessories,3/28/19,12:58,150.0975
374-17-3652,B,Mandalay,Member,Food and beverages,2/5/19,15:26,404.649
378-07-7001,B,Mandalay,Member,Electronic accessories,2/10/19,18:23,151.4835
433-75-6987,B,Mandalay,Member,Health and beauty,3/5/19,19:06,411.3795
