Invoice ID,Branch,City,Customer type,Product line,Quantity,Tax 5%,Total,Date
554-53-8700,C,Naypyitaw,Member,Home and lifestyle,2,5.611,117.831,2/2/19
354-25-5821,B,Mandalay,Member,Sports and travel,6,20.736,435.456,2/8/19
228-96-1411,C,Naypyitaw,Member,Food and beverages,8,39.48,829.08,3/4/19
617-15-4209,C,Naypyitaw,Member,Health and beauty,2,1.537,32.277,3/16/19
132-32-9879,B,Mandalay,Member,Electronic accessories,4,18.792,394.632,3/9/19
370-41-7321,B,Mandalay,Member,Health and beauty,9,25.5105,535.7205,2/27/19
727-46-3608,B,Mandalay,Member,Food and beverages,9,9.0045,189.0945,2/6/19
669-54-1719,B,Mandalay,Member,Electronic accessories,6,5.679,119.259,2/10/19
574-22-5561,C,Naypyitaw,Member,Fashion accessories,10,41.315,867.615,3/19/19
326-78-5178,C,Naypyitaw,Member,Food and beverages,7,31.99,671.79,2/3/19
162-48-8011,A,Yangon,Member,Food and beverages,5,11.1475,234.0975,2/10/19
616-24-2851,B,Mandalay,Member,Fashion accessories,4,3.574,75.054,3/22/19
778-71-5554,C,Naypyitaw,Member,Fashion accessories,1,0.7715,16.2015,1/25/19
242-55-6721,B,Mandalay,Normal,Home and lifestyle,2,1.616,33.936,3/7/19
399-46-5918,C,Naypyitaw,Normal,Electronic accessories,8,34.392,722.232,2/28/19
106-35-6779,A,Yangon,Member,Home and lifestyle,2,4.434,93.114,3/27/19
635-40-6220,A,Yangon,Normal,Health and beauty,8,35.84,752.64,2/7/19
817-48-8732,A,Yangon,Member,Home and lifestyle,10,36.175,759.675,1/20/19
120-06-4233,C,Naypyitaw,Normal,Electronic accessories,6,9.183,192.843,3/12/19
285-68-5083,C,Naypyitaw,Member,Sports and travel,3,3.711,77.931,2/15/19
803-83-5989,C,Naypyitaw,Normal,Home and lifestyle,6,16.719,351.099,2/24/19
347-34-2234,B,Mandalay,Member,Sports and travel,9,24.7815,520.4115,2/3/19
199-75-8169,A,Yangon,Member,Sports and travel,10,7.905,166.005,3/6/19
853-23-2453,B,Mandalay,Member,Health and beauty,4,15.148,318.108,2/14/19
877-22-3308,A,Yangon,Member,Health and beauty,10,7.935,166.635,3/13/19
838-78-4295,C,Naypyitaw,Normal,Health and beauty,2,3.347,70.287,2/10/19
109-28-2512,B,Mandalay,Member,Fashion accessories,6,29.283,614.943,1/7/19
232-11-3025,A,Yangon,Normal,Sports and travel,10,39.385,827.085,1/24/19
382-03-4532,A,Yangon,Member,Health and beauty,1,0.9165,19.2465,2/2/19
393-65-2792,C,Naypyitaw,Normal,Food and beverages,10,44.74,939.54,1/6/19
796-12-2025,C,Naypyitaw,Normal,Fashion accessories,10,31.06,652.26,2/11/19
510-95-6347,B,Mandalay,Member,Food and beverages,3,7.278,152.838,3/5/19
841-35-6630,C,Naypyitaw,Normal,Electronic accessories,6,22.773,478.233,3/9/19
287-21-9091,A,Yangon,Normal,Home and lifestyle,9,33.6015,705.6315,1/22/19
732-94-0499,C,Naypyitaw,Normal,Electronic accessories,10,20.825,437.325,1/13/19
263-10-3913,C,Naypyitaw,Member,Fashion accessories,9,22.068,463.428,1/9/19
381-20-0914,A,Yangon,Member,Fashion accessories,9,9.0045,189.0945,1/12/19
829-49-1914,C,Naypyitaw,Member,Food and beverages,10,39.155,822.255,3/5/19
756-01-7507,C,Naypyitaw,Normal,Health and beauty,5,5.095,106.995,1/22/19
870-72-4431,C,Naypyitaw,Normal,Health and beauty,6,29.757,624.897,1/21/19
847-38-7188,B,Mandalay,Normal,Food and beverages,3,14.502,304.542,1/26/19
480-63-2856,C,Naypyitaw,Normal,Food and beverages,8,7.7,161.7,1/23/19
787-56-0757,C,Naypyitaw,Member,Food and beverages,4,16.072,337.512,2/23/19
360-39-5055,C,Naypyitaw,Member,Sports and travel,5,12.2275,256.7775,3/9/19
730-50-9884,C,Naypyitaw,Normal,Sports and travel,7,29.071,610.491,3/5/19
362-58-8315,C,Naypyitaw,Normal,Fashion accessories,5,19.13,401.73,3/25/19
633-44-8566,A,Yangon,Member,Food and beverages,7,17.283,362.943,3/27/19
504-35-8843,A,Yangon,Normal,Sports and travel,1,2.1235,44.5935,1/2/19
318-68-5053,B,Mandalay,Normal,Health and beauty,6,23.097,485.037,2/27/19
565-80-5980,C,Naypyitaw,Member,Home and lifestyle,4,9.476,198.996,1/23/19
225-32-0908,C,Naypyitaw,Normal,Sports and travel,10,22.43,471.03,1/26/19
873-51-0671,A,Yangon,Member,Sports and travel,7,7.693,161.553,1/10/19
152-08-9985,B,Mandalay,Member,Health and beauty,9,28.962,608.202,3/12/19
512-91-0811,C,Naypyitaw,Normal,Health and beauty,1,4.4875,94.2375,2/6/19
594-34-4444,A,Yangon,Normal,Electronic accessories,1,4.858,102.018,3/8/19
766-85-7061,B,Mandalay,Normal,Health and beauty,10,43.935,922.635,3/29/19
871-39-9221,C,Naypyitaw,Normal,Electronic accessories,6,3.735,78.435,2/9/19
865-92-6136,A,Yangon,Normal,Food and beverages,3,7.9125,166.1625,3/23/19
733-01-9107,B,Mandalay,Normal,Home and lifestyle,6,24.81,521.01,3/5/19
163-56-7055,C,Naypyitaw,Member,Fashion accessories,1,2.4355,51.1455,3/26/19
189-98-2939,C,Naypyitaw,Normal,Fashion accessories,9,35.3475,742.2975,3/1/19
551-21-3069,C,Naypyitaw,Normal,Electronic accessories,9,10.3815,218.0115,2/1/19
212-62-1842,A,Yangon,Normal,Food and beverages,6,17.478,367.038,3/28/19
716-39-1409,B,Mandalay,Normal,Health and beauty,7,10.6225,223.0725,3/19/19
704-48-3927,A,Yangon,Member,Electronic accessories,10,44.335,931.035,1/12/19
628-34-3388,C,Naypyitaw,Normal,Fashion accessories,6,8.214,172.494,1/5/19
630-74-5166,A,Yangon,Normal,Sports and travel,6,18.639,391.419,3/22/19
588-01-7461,C,Naypyitaw,Normal,Food and beverages,9,15.291,321.111,3/24/19
861-77-0145,C,Naypyitaw,Member,Electronic accessories,10,40.985,860.685,3/3/19
479-26-8945,B,Mandalay,Member,Sports and travel,2,1.649,34.629,2/5/19
210-67-5886,C,Naypyitaw,Member,Health and beauty,3,14.7315,309.3615,2/5/19
227-78-1148,B,Mandalay,Normal,Fashion accessories,7,25.494,535.374,2/15/19
645-44-1170,A,Yangon,Member,Home and lifestyle,9,26.1315,548.7615,1/19/19
237-01-6122,C,Naypyitaw,Member,Home and lifestyle,9,36.3555,763.4655,2/1/19
225-98-1496,C,Naypyitaw,Normal,Fashion accessories,3,4.053,85.113,3/2/19
291-32-1427,B,Mandalay,Member,Fashion accessories,5,5.485,115.185,3/5/19
659-65-8956,B,Mandalay,Member,Fashion accessories,1,2.568,53.928,1/16/19
642-32-2990,A,Yangon,Normal,Food and beverages,10,5.48,115.08,2/2/19
378-24-2715,B,Mandalay,Normal,Home and lifestyle,2,5.344,112.224,1/20/19
638-60-7125,A,Yangon,Normal,Electronic accessories,8,39.824,836.304,2/14/19
659-36-1684,C,Naypyitaw,Member,Sports and travel,7,19.992,419.832,1/12/19
219-22-9386,B,Mandalay,Member,Sports and travel,9,44.982,944.622,3/9/19
336-78-2147,C,Naypyitaw,Member,Home and lifestyle,8,25.564,536.844,3/13/19
268-27-6179,B,Mandalay,Member,Fashion accessories,8,22.588,474.348,3/9/19
668-90-8900,A,Yangon,Normal,Home and lifestyle,7,32.7915,688.6215,3/10/19
870-54-3162,A,Yangon,Normal,Sports and travel,5,8.0625,169.3125,1/27/19
189-08-9157,C,Naypyitaw,Normal,Fashion accessories,9,14.2785,299.8485,1/8/19
663-86-9076,C,Naypyitaw,Member,Food and beverages,8,27.416,575.736,1/8/19
549-84-7482,B,Mandalay,Normal,Sports and travel,9,40.626,853.146,2/8/19
191-10-6171,B,Mandalay,Normal,Fashion accessories,7,13.867,291.207,1/25/19
802-70-5316,A,Yangon,Member,Sports and travel,6,27.639,580.419,3/6/19
695-51-0018,B,Mandalay,Normal,Sports and travel,4,6.968,146.328,2/10/19
590-83-4591,B,Mandalay,Member,Electronic accessories,6,26.235,550.935,2/17/19
483-71-1164,C,Naypyitaw,Normal,Health and beauty,6,24.39,512.19,3/8/19
597-78-7908,C,Naypyitaw,Normal,Fashion accessories,3,13.533,284.193,2/18/19
700-81-1757,A,Yangon,Normal,Electronic accessories,5,6.5775,138.1275,1/18/19
354-39-5160,A,Yangon,Member,Home and lifestyle,6,10.326,216.846,2/18/19
241-72-9525,B,Mandalay,Normal,Sports and travel,10,25.955,545.055,2/16/19
575-30-8091,A,Yangon,Normal,Sports and travel,8,29,609,3/16/19
731-81-9469,C,Naypyitaw,Member,Sports and travel,10,44.9,942.9,1/23/19
280-17-4359,C,Naypyitaw,Member,Health and beauty,10,45.25,950.25,1/25/19
338-65-2210,C,Naypyitaw,Member,Health and beauty,10,34.3,720.3,2/5/19
488-25-4221,C,Naypyitaw,Member,Food and beverages,1,1.5205,31.9305,2/22/19
239-10-7476,A,Yangon,Normal,Home and lifestyle,6,23.385,491.085,1/21/19
458-41-1477,C,Naypyitaw,Normal,Health and beauty,6,13.878,291.438,3/8/19
685-64-1609,A,Yangon,Member,Fashion accessories,10,15.07,316.47,2/10/19
568-90-5112,C,Naypyitaw,Normal,Health and beauty,4,13.228,277.788,3/19/19
262-47-2794,B,Mandalay,Member,Home and lifestyle,8,28.744,603.624,3/6/19
238-49-0436,A,Yangon,Normal,Health and beauty,8,12.984,272.664,3/27/19
608-96-3517,B,Mandalay,Member,Fashion accessories,4,18.308,384.468,3/23/19
584-86-7256,C,Naypyitaw,Member,Sports and travel,7,12.096,254.016,3/11/19
746-94-0204,A,Yangon,Normal,Fashion accessories,9,37.458,786.618,1/29/19
214-17-6927,C,Naypyitaw,Normal,Food and beverages,6,4.944,103.824,2/7/19
400-89-4171,C,Naypyitaw,Normal,Sports and travel,8,32.388,680.148,1/28/19
782-95-9291,A,Yangon,Member,Food and beverages,5,23.0725,484.5225,2/20/19
279-74-2924,B,Mandalay,Member,Electronic accessories,1,3.6085,75.7785,1/4/19
307-85-2293,B,Mandalay,Normal,Home and lifestyle,5,12.57,263.97,3/7/19
743-04-1105,B,Mandalay,Member,Health and beauty,9,43.749,918.729,3/30/19
423-57-2993,B,Mandalay,Normal,Sports and travel,6,28.017,588.357,3/27/19
894-41-5205,C,Naypyitaw,Normal,Food and beverages,8,17.272,362.712,1/19/19
275-28-0149,A,Yangon,Normal,Sports and travel,1,3.1845,66.8745,2/25/19
101-17-6199,A,Yangon,Normal,Food and beverages,7,16.0265,336.5565,3/13/19
423-80-0988,C,Naypyitaw,Normal,Sports and travel,2,7.64,160.44,1/30/19
548-46-9322,B,Mandalay,Normal,Food and beverages,10,19.95,418.95,2/20/19
505-02-0892,B,Mandalay,Member,Health and beauty,8,17.028,357.588,2/25/19
234-65-2137,C,Naypyitaw,Normal,Home and lifestyle,10,47.79,1003.59,1/16/19
687-47-8271,A,Yangon,Normal,Fashion accessories,10,49.49,1039.29,2/8/19
796-32-9050,A,Yangon,Normal,Food and beverages,6,15.384,323.064,1/19/19
105-31-1824,A,Yangon,Member,Sports and travel,7,24.332,510.972,2/1/19
249-42-3782,A,Yangon,Normal,Health and beauty,5,17.5025,367.5525,1/3/19
316-55-4634,B,Mandalay,Member,Food and beverages,5,20.0125,420.2625,1/26/19
733-33-4967,C,Naypyitaw,Normal,Electronic accessories,8,8.34,175.14,3/3/19
608-27-6295,B,Mandalay,Member,Electronic accessories,6,15.867,333.207,1/19/19
414-12-7047,B,Mandalay,Normal,Food and beverages,8,7.916,166.236,1/18/19
827-26-2100,A,Yangon,Member,Home and lifestyle,9,15.228,319.788,3/21/19
175-54-2529,A,Yangon,Member,Food and beverages,8,8.868,186.228,3/3/19
139-52-2867,C,Naypyitaw,Normal,Fashion accessories,7,7.8785,165.4485,2/13/19
407-63-8975,A,Yangon,Normal,Food and beverages,6,22.164,465.444,3/23/19
342-65-4817,C,Naypyitaw,Member,Health and beauty,3,13.02,273.42,1/28/19
130-98-8941,C,Naypyitaw,Normal,Fashion accessories,7,22.491,472.311,2/9/19
434-83-9547,C,Naypyitaw,Member,Food and beverages,8,15.388,323.148,1/23/19
851-28-6367,A,Yangon,Member,Sports and travel,10,7.75,162.75,3/23/19
824-88-3614,C,Naypyitaw,Normal,Health and beauty,8,13.724,288.204,1/25/19
586-25-0848,A,Yangon,Normal,Sports and travel,7,4.319,90.699,3/4/19
895-66-0685,B,Mandalay,Member,Food and beverages,3,2.712,56.952,3/5/19
305-14-0245,B,Mandalay,Member,Home and lifestyle,8,37.796,793.716,3/3/19
732-04-5373,B,Mandalay,Member,Home and lifestyle,4,9.294,195.174,2/8/19
400-60-7251,A,Yangon,Normal,Home and lifestyle,1,3.7035,77.7735,2/10/19
593-65-1552,C,Naypyitaw,Normal,Home and lifestyle,4,13.962,293.202,1/28/19
284-34-9626,B,Mandalay,Normal,Home and lifestyle,3,11.556,242.676,2/11/19
437-58-8131,B,Mandalay,Normal,Fashion accessories,2,7.352,154.392,1/15/19
286-43-6208,C,Naypyitaw,Normal,Food and beverages,9,39.51,829.71,3/16/19
641-43-2399,B,Mandalay,Normal,Home and lifestyle,4,5.11,107.31,1/26/19
831-07-6050,A,Yangon,Normal,Electronic accessories,5,8.1775,171.7275,3/19/19
556-86-3144,C,Naypyitaw,Member,Fashion accessories,1,3.7145,78.0045,1/13/19
848-24-9445,C,Naypyitaw,Member,Health and beauty,2,4.37,91.77,3/26/19
856-22-8149,A,Yangon,Normal,Home and lifestyle,1,1.2645,26.5545,3/23/19
699-01-4164,C,Naypyitaw,Normal,Health and beauty,4,8.3,174.3,3/12/19
420-11-4919,C,Naypyitaw,Member,Food and beverages,5,17.8475,374.7975,2/17/19
606-80-4905,C,Naypyitaw,Member,Sports and travel,6,5.745,120.645,1/29/19
542-41-0513,B,Mandalay,Member,Electronic accessories,4,11.498,241.458,3/15/19
426-39-2418,C,Naypyitaw,Normal,Electronic accessories,7,21.4935,451.3635,1/14/19
875-46-5808,B,Mandalay,Member,Health and beauty,10,12.95,271.95,2/6/19
394-43-4238,B,Mandalay,Member,Home and lifestyle,5,4.4425,93.2925,2/15/19
749-24-1565,A,Yangon,Normal,Health and beauty,9,10.3635,217.6335,1/3/19
672-51-8681,C,Naypyitaw,Member,Electronic accessories,9,29.9925,629.8425,1/4/19
263-87-5680,C,Naypyitaw,Member,Home and lifestyle,10,14.265,299.565,3/18/19
573-58-9734,B,Mandalay,Normal,Fashion accessories,3,4.5555,95.6655,3/28/19
817-69-8206,B,Mandalay,Normal,Electronic accessories,9,44.8785,942.4485,3/2/19
888-02-0338,A,Yangon,Normal,Electronic accessories,9,11.8035,247.8735,1/25/19
677-11-0152,C,Naypyitaw,Normal,Food and beverages,9,41.967,881.307,1/16/19
142-63-6033,B,Mandalay,Normal,Home and lifestyle,5,23.09,484.89,3/20/19
656-16-1063,B,Mandalay,Normal,Sports and travel,3,6.963,146.223,1/4/19
891-58-8335,B,Mandalay,Member,Sports and travel,7,10.3635,217.6335,3/11/19
802-43-8934,A,Yangon,Normal,Home and lifestyle,1,0.914,19.194,3/22/19
560-30-5617,B,Mandalay,Normal,Sports and travel,5,6.1925,130.0425,3/24/19
319-74-2561,A,Yangon,Member,Electronic accessories,3,14.196,298.116,2/21/19
549-03-9315,B,Mandalay,Normal,Fashion accessories,8,37.948,796.908,2/12/19
790-29-1172,B,Mandalay,Normal,Food and beverages,3,8.601,180.621,3/10/19
239-36-3640,B,Mandalay,Normal,Electronic accessories,6,13.605,285.705,1/31/19
468-01-2051,B,Mandalay,Normal,Food and beverages,7,21.728,456.288,3/6/19
389-25-3394,C,Naypyitaw,Normal,Electronic accessories,5,2.9525,62.0025,2/17/19
279-62-1445,C,Naypyitaw,Member,Fashion accessories,1,0.627,13.167,2/21/19
213-72-6612,A,Yangon,Normal,Food and beverages,2,4.325,90.825,3/20/19
746-68-6593,C,Naypyitaw,Member,Sports and travel,2,8.716,183.036,1/11/19
836-82-5858,B,Mandalay,Member,Health and beauty,9,31.2165,655.5465,1/26/19
583-72-1480,C,Naypyitaw,Member,Electronic accessories,4,7.412,155.652,1/31/19
466-61-5506,B,Mandalay,Member,Electronic accessories,6,27.21,571.41,2/26/19
721-86-6247,A,Yangon,Normal,Home and lifestyle,8,25.368,532.728,3/11/19
289-65-5721,B,Mandalay,Normal,Fashion accessories,2,8.137,170.877,1/26/19
545-46-3100,B,Mandalay,Member,Electronic accessories,3,1.5885,33.3585,3/12/19
418-02-5978,B,Mandalay,Normal,Health and beauty,9,37.8405,794.6505,2/11/19
269-04-5750,B,Mandalay,Member,Fashion accessories,4,14.764,310.044,2/21/19
157-13-5295,A,Yangon,Member,Health and beauty,10,25.97,545.37,3/9/19
645-78-8093,A,Yangon,Normal,Sports and travel,2,9.314,195.594,1/20/19
211-30-9270,C,Naypyitaw,Normal,Health and beauty,5,4.3525,91.4025,1/28/19
755-12-3214,C,Naypyitaw,Member,Fashion accessories,5,11.055,232.155,3/5/19
346-84-3103,B,Mandalay,Member,Electronic accessories,5,3.305,69.405,3/2/19
478-06-7835,A,Yangon,Normal,Fashion accessories,1,4.4845,94.1745,1/11/19
540-11-4336,A,Yangon,Normal,Food and beverages,9,11.223,235.683,1/11/19
448-81-5016,A,Yangon,Normal,Health and beauty,2,5.977,125.517,3/11/19
142-72-4741,C,Naypyitaw,Member,Fashion accessories,2,9.32,195.72,2/28/19
217-58-1179,A,Yangon,Member,Home and lifestyle,4,12.53,263.13,1/5/19
376-02-8238,B,Mandalay,Normal,Home and lifestyle,8,37.548,788.508,2/2/19
530-90-9855,A,Yangon,Member,Home and lifestyle,8,19.036,399.756,1/1/19
866-05-7563,B,Mandalay,Member,Electronic accessories,3,12.21,256.41,2/9/19
604-70-6476,A,Yangon,Member,Fashion accessories,5,4.485,94.185,1/23/19
799-71-1548,A,Yangon,Member,Electronic accessories,4,15.544,326.424,1/7/19
785-13-7708,B,Mandalay,Normal,Food and beverages,7,25.571,536.991,1/14/19
845-51-0542,B,Mandalay,Member,Food and beverages,9,20.9475,439.8975,2/2/19
662-47-5456,C,Naypyitaw,Member,Fashion accessories,10,17.595,369.495,3/17/19
883-17-4236,C,Naypyitaw,Normal,Sports and travel,2,1.439,30.219,3/2/19
290-68-2984,A,Yangon,Normal,Home and lifestyle,4,4.75,99.75,3/16/19
704-11-6354,A,Yangon,Member,Home and lifestyle,8,23.56,494.76,1/6/19
110-48-7033,B,Mandalay,Member,Fashion accessories,4,6.524,137.004,1/29/19
366-93-0948,A,Yangon,Member,Electronic accessories,1,3.3175,69.6675,1/31/19
729-09-9681,A,Yangon,Member,Home and lifestyle,6,7.773,163.233,2/5/19
151-16-1484,A,Yangon,Member,Electronic accessories,4,6.45,135.45,2/13/19
380-94-4661,C,Naypyitaw,Member,Electronic accessories,4,13.188,276.948,2/7/19
850-41-9669,A,Yangon,Normal,Electronic accessories,9,33.777,709.317,3/19/19
821-07-3596,C,Naypyitaw,Normal,Fashion accessories,4,3.29,69.09,3/7/19
655-85-5130,B,Mandalay,Member,Fashion accessories,4,7.66,160.86,3/13/19
447-15-7839,A,Yangon,Member,Sports and travel,10,11.12,233.52,2/9/19
154-74-7179,B,Mandalay,Normal,Sports and travel,1,2.7225,57.1725,2/26/19
253-12-6086,A,Yangon,Member,Sports and travel,7,34.44,723.24,3/12/19
808-65-0703,C,Naypyitaw,Normal,Home and lifestyle,4,7.094,148.974,3/14/19
571-94-0759,B,Mandalay,Member,Food and beverages,10,37.3,783.3,1/8/19
144-51-6085,A,Yangon,Member,Home and lifestyle,4,14.148,297.108,1/5/19
731-14-2199,A,Yangon,Member,Home and lifestyle,10,17.77,373.17,1/4/19
783-09-1637,B,Mandalay,Normal,Sports and travel,5,16.8575,354.0075,3/6/19
687-15-1097,C,Naypyitaw,Member,Health and beauty,2,2.112,44.352,1/3/19
126-54-1082,A,Yangon,Member,Home and lifestyle,9,9.693,203.553,1/7/19
633-91-1052,A,Yangon,Normal,Home and lifestyle,2,1.203,25.263,1/27/19
477-24-6490,B,Mandalay,Normal,Health and beauty,6,29.913,628.173,2/26/19
566-19-5475,B,Mandalay,Normal,Fashion accessories,7,16.7895,352.5795,1/7/19
526-86-8552,C,Naypyitaw,Member,Home and lifestyle,10,10.91,229.11,1/7/19
376-56-3573,C,Naypyitaw,Normal,Fashion accessories,4,19.084,400.764,2/2/19
537-72-0426,C,Naypyitaw,Member,Fashion accessories,10,35.495,745.395,3/20/19
828-61-5674,A,Yangon,Member,Sports and travel,10,22.01,462.21,3/20/19
136-08-6195,A,Yangon,Normal,Home and lifestyle,8,27.984,587.664,2/15/19
523-38-0215,C,Naypyitaw,Normal,Home and lifestyle,1,1.85,38.85,3/6/19
490-29-1201,A,Yangon,Normal,Sports and travel,1,0.767,16.107,1/6/19
667-92-0055,A,Yangon,Member,Health and beauty,6,29.949,628.929,3/4/19
565-17-3836,A,Yangon,Member,Health and beauty,4,9.534,200.214,3/12/19
498-41-1961,B,Mandalay,Normal,Health and beauty,5,16.67,350.07,2/20/19
593-95-4461,C,Naypyitaw,Member,Home and lifestyle,1,3.743,78.603,3/24/19
226-71-3580,C,Naypyitaw,Normal,Sports and travel,9,10.6875,224.4375,1/31/19
283-79-9594,B,Mandalay,Normal,Food and beverages,7,16.9785,356.5485,1/25/19
430-60-3493,A,Yangon,Member,Home and lifestyle,7,33.208,697.368,2/3/19
139-20-0155,B,Mandalay,Member,Electronic accessories,10,20.15,423.15,1/24/19
558-80-4082,C,Naypyitaw,Normal,Electronic accessories,7,9.7475,204.6975,3/14/19
278-97-7759,A,Yangon,Member,Electronic accessories,1,3.124,65.604,2/18/19
316-68-6352,A,Yangon,Member,Food and beverages,2,3.636,76.356,1/21/19
585-03-5943,B,Mandalay,Normal,Health and beauty,10,9.055,190.155,3/13/19
211-05-0490,C,Naypyitaw,Member,Electronic accessories,5,12.98,272.58,3/3/19
727-75-6477,C,Naypyitaw,Normal,Electronic accessories,4,5.768,121.128,3/29/19
744-02-5987,A,Yangon,Member,Home and lifestyle,6,23.514,493.794,1/10/19
307-83-9164,A,Yangon,Member,Home and lifestyle,4,12.002,252.042,1/25/19
779-06-0012,C,Naypyitaw,Member,Home and lifestyle,1,4.4305,93.0405,1/19/19
446-47-6729,C,Naypyitaw,Normal,Fashion accessories,2,9.982,209.622,1/2/19
573-10-3877,B,Mandalay,Member,Health and beauty,1,1.9505,40.9605,3/12/19
735-06-4124,C,Naypyitaw,Normal,Food and beverages,1,2.4305,51.0405,2/25/19
439-54-7422,A,Yangon,Normal,Electronic accessories,4,10.238,214.998,3/18/19
396-90-2219,B,Mandalay,Normal,Electronic accessories,8,5.984,125.664,2/23/19
411-77-0180,A,Yangon,Member,Electronic accessories,7,25.27,530.67,3/26/19
286-01-5402,A,Yangon,Normal,Sports and travel,7,14.0805,295.6905,3/30/19
803-17-8013,A,Yangon,Member,Home and lifestyle,8,35.516,745.836,2/17/19
512-98-1403,A,Yangon,Member,Electronic accessories,3,3.972,83.412,3/21/19
848-42-2560,A,Yangon,Normal,Fashion accessories,2,8.191,172.011,3/5/19
532-59-7201,B,Mandalay,Member,Sports and travel,6,23.979,503.559,1/31/19
181-94-6432,C,Naypyitaw,Member,Fashion accessories,2,6.933,145.593,2/5/19
870-76-1733,A,Yangon,Member,Food and beverages,5,3.5575,74.7075,2/1/19
423-64-4619,A,Yangon,Member,Health and beauty,9,6.9975,146.9475,3/7/19
227-07-4446,C,Naypyitaw,Member,Electronic accessories,10,39.065,820.365,2/10/19
174-36-3675,C,Naypyitaw,Member,Food and beverages,2,9.937,208.677,2/14/19
428-83-5800,C,Naypyitaw,Member,Food and beverages,3,3.162,66.402,2/9/19
603-07-0961,C,Naypyitaw,Member,Electronic accessories,5,18.6975,392.6475,1/10/19
704-20-4138,C,Naypyitaw,Member,Health and beauty,7,10.3845,218.0745,3/11/19
787-15-1757,C,Naypyitaw,Member,Health and beauty,4,8.814,185.094,2/18/19
649-11-3678,C,Naypyitaw,Normal,Food and beverages,9,10.3185,216.6885,2/26/19
622-20-1945,C,Naypyitaw,Normal,Health and beauty,1,1.971,41.391,1/18/19
372-94-8041,A,Yangon,Normal,Health and beauty,6,4.578,96.138,2/15/19
